JURISDICTION,INDICATOR,SCALE,2018,2019,2020,2021,2022,2023
Belarus,Number of taxpayers by tax type-Personal income tax-Active taxpayers,Units,216717,232491,D,D,507525,D
Rwanda,Staff strength levels -Departures in FY,Units,D,D,0,50,40,75
Lesotho,No. of incoming service contacts by channel-Online via taxpayer account,Units,D,D,0,0,D,D
South Africa,No. of incoming service contacts by channel-Online via taxpayer account,Units,0,0,0,0,D,D
Benin,No. of incoming service contacts by channel-Online via taxpayer account,Units,,,,3132,D,D
Tonga,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits completed,Units,179,103,43,D,60,98
Belize,Percentage of payments received electronically-By number of payments,Units,D,D,D,D,23,46.3
Barbados,No. of incoming service contacts by channel-Telephone call,Units,0,1,36919,17760,D,97122
Kyrgyz Republic,Academic qualifications (No. of staff at the end of FY)-Masters degree (or above),Units,2101,2094,,2281,D,779
Ukraine,Academic qualifications (No. of staff at the end of FY)-Bachelors degree,Units,D,1373,3219,3615,772,1607
Vietnam,Number of returns received by tax type and channel-Corporate income tax-Paper returns,Units,25230,22677,D,21642,D,D
Ukraine,Age distribution (No. of staff at the end of FY)-Over 64 years,Units,D,22,40,6,75,174
Rwanda,Length of service (No. of staff at the end of FY)-Under 5 years,Units,D,D,283,159,73,158
Lesotho,No. of incoming service contacts by channel-Telephone call,Units,D,D,1844,D,53142,30272
Zimbabwe,No. of incoming service contacts by channel-In-person,Units,98789,167967,360,D,D,D
Mexico,No. of incoming service contacts by channel-In-person,Units,D,D,62900,43491,20884252,17912088
Zimbabwe,No. of incoming service contacts by channel-Telephone call,Units,256854,265875,2123,D,D,14512
Ireland,On-time return filing-Corporate income tax-No. of returns filed on time,Units,D,D,143254,157908,168657,169972
Barbados,No. of incoming service contacts by channel-In-person,Units,0,278240,39597,24000,D,35713
Kyrgyz Republic,Age distribution (No. of staff at the end of FY)-Over 64 years,Units,D,D,,57,1,49
Lesotho,No. of incoming service contacts by channel-In-person,Units,D,D,633,633,D,6708
Sweden,On-time return filing-Value added tax-No. of returns expected,Units,D,D,5191630,4730015,4958852,5090032
Bangladesh,Percentage of payments received electronically-By value of payments,Units,0,0.05,D,,2089623850,D
Finland,Audits undertaken by the LTO / program (excluding electronic compliance checks)-Total number completed,Units,D,D,D,68,44,42
"Timor-Leste, Dem. Rep. of",Percentage of payments received electronically-By number of payments,Units,0,D,0,D,D,80
"Timor-Leste, Dem. Rep. of",On-time return filing-Corporate income tax-No. of returns expected,Units,27284,28909,23874,45000,50808,D
Uzbekistan,Percentage of payments received electronically-By number of payments,Units,D,D,D,D,100,100
Mali,No. of taxpayers included under the LTO / program-Corporate taxpayers,Units,,,,,D,552
St. Kitts and Nevis,Number of returns received by tax type and channel-Corporate income tax-Electronic returns-Not prefilled,Units,4,10,102,57,D,50
"Timor-Leste, Dem. Rep. of",Percentage of payments received electronically-By value of payments,Units,0,D,0,D,D,D
Namibia,Gender distribution (No. of staff at the end of FY)-Executives only-Other,Units,0,0,D,,0,
Tonga,Tax cases under independent review by external bodies-No. of cases initiated in FY,Units,0,0,0,0,0,D
Belize,Percentage of payments received electronically-By value of payments,Units,D,D,D,D,23,82.8
Malawi,No. of incoming service contacts by channel-Online via taxpayer account,Units,,,,,1062,D
Mali,Audits undertaken by the LTO / program (excluding electronic compliance checks)-Total number completed,Units,,,,,D,582
Ukraine,Gender distribution (No. of staff at the end of FY)-Executives only-Female,Units,D,3330,592,3939,3910,3836
Bhutan,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Corporate income tax,Thousands,D,D,0,D,D,D
Ukraine,Length of service (No. of staff at the end of FY)-Under 5 years,Units,D,2506,2517,2093,2190,2185
Australia,On-time return filing-Value added tax-No. of returns expected,Units,D,D,D,D,12683902,12886950
Grenada,Number of returns received by tax type and channel-Corporate income tax-Paper returns,Units,D,D,715,774,600,531
